Video ID;Central_Object;Texture;Color;Size_Shape;Object_2;Object_3;Object_4;Environment;Lighting;Video_Clarity;Movement_Behavior;Camera_Position;Camera_Angle;Caption;Folder
0001.mp4;Sứa mặt trăng;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển đục;ánh sáng ban ngày;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước đục;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.;BigIsland_BlackWaterDive_Jan6_2023
0002.mp4;Sứa mặt trăng;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển đục;ánh sáng ban ngày;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước đục;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.;BigIsland_BlackWaterDive_Jan6_2023
0003.mp4;Sinh vật biển;;màu vàng nâu;Kích thước nhỏ;;;;Nước biển đục;ánh sáng ban ngày;video có chất lượng rõ nét;Sinh vật biển đang đứng yên;quay toàn cảnh, sinh vật biển đang đứng yên;góc quay ngang và tịnh tiến tới;Beneath the camera's gaze, a small marine creature stands out amidst the vast expanse of the ocean. Its body is not overly colorful, simply a gentle shade of yellow-brown. This marine creature serves as a focal point, contributing to the ocean's vibrant beauty.;BigIsland_BlackWaterDive_Jan6_2023
0004.mp4;Sứa biển;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển trong;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.;BigIsland_BlackWaterDive_Jan6_2023
0005.mp4;Sứa biển;;Màu trắng, trong suốt;Kích thước nhỏ;;;;Nước biển trong;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay toàn cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Moon jellyfish gracefully glide through the ocean depths like giant translucent umbrellas, their delicate, silk-like tentacles trailing behind them like gossamer threads, gently capturing prey. They move with a slow, rhythmic sway, adding an ethereal beauty to the underwater world.;BigIsland_BlackWaterDive_Jan6_2023
0006.mp4;Sứa biển;;màu xanh;kích thước trung bình;;;;Nước biển xanh đậm;ánh sáng ban đêm;video có chất lượng rõ nét;Sứa biển đang di chuyển giữa dòng nước trong;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;The jellyfish, with its vibrant green color and medium size, glides through the deep blue waters under the night sky. The high-quality video captures their graceful movement. The gentle horizontal angle approaches, revealing the beauty of the jellyfish.;BigIsland_BlackWaterDive_Jan6_2023
0007.mp4;một sinh vật biển;;màu trắng, màu xanh;kích thước trung bình;đèn pin;thợ lặn;mùn hữu cơ;Nước biển xanh đậm;ánh sáng ban đêm;video có chất lượng rõ nét;Sinh vật biển nằm lơ lửng;quay toàn cảnh sinh vật biển;góc quay ngang và tịnh tiến tới;Under the glow of a flashlight, a marine creature with white and blue hues, of medium size, floats in the deep blue sea. The high-quality video captures images of the marine creature and organic debris. The gentle horizontal angle approaches gracefully.;BigIsland_BlackWaterDive_Jan6_2023
0008.mp4;bọt khí;;màu trắng, phát sáng;kích thước đa dạng;đèn pin;mùn hữu cơ;bọt khí;Nước biển xanh đậm;;video có chất lượng rõ nét;Bọt biển di chuyển lên xuống;quay toàn cảnh bọt biển;góc quay ngang và tịnh tiến tới;glowing white bubbles of varying sizes bob in the deep blue sea. The high-quality video vividly captures the scene of the bubbles moving fluidly. The horizontal angle steadily advances towards them.;BigIsland_BlackWaterDive_Jan6_2023
0009.mp4;Sứa biển;;màu trắng, màu xanh, màu cam và sứa trong suốt;kích thước trung bình;camera thợ lặn;thợ lặn;mùn hữu cơ;Nước biển xanh đậm;;video có chất lượng rõ nét;Sứa biển bơi chậm rãi;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;Amidst the deep blue sea, jellyfish in white, green, and orange hues gracefully drift. With an average size, they are captured by the diver's camera. The high-quality video depicts the jellyfish swimming slowly. The horizontal angle steadily advances forward.;BigIsland_BlackWaterDive_Jan6_2023
0010.mp4;Bọt biển;;màu cam, màu trắng;kích thước trung bình;đèn pin;;mùn hữu cơ;Nước biển xanh đậm;;video có chất lượng rõ nét;bọt biển không di chuyển;quay 1 phần cảnh thấy được sứa biển đang di chuyển;góc quay ngang và tịnh tiến tới;The orange and white sea foam floats gently. With an average size, illuminated by a flashlight. The high-quality video captures the serene scene of motionless sea foam. The camera angle steadily advances forward.;BigIsland_BlackWaterDive_Jan6_2023
0011.mp4;cá biển nhỏ;;thân màu trắng, bên trong màu cam;kích thước nhỏ;đèn pin;thợ lặn;mùn hữu cơ;Nước biển xanh đậm;;video có chất lượng rõ nét;Cá biển nhỏ bơi nhanh;quay toàn phần cá nhỏ;góc quay ngang và tịnh tiến tới;small sea fish emerge, their bodies gentle white, yet their inner cores glow orange, creating a vibrant sight. Illuminated by a flashlight, they stand out. The high-quality video vividly portrays the lively beauty of the sea fish.;BigIsland_BlackWaterDive_Jan6_2023
0012.mp4;sứa biển;;sứa biển có hình dáng tam giắc với 3 vòng tròn;kích thước nhỏ;đèn pin;mùn hữu cơ;;Nước biển xanh đậm;;video có chất lượng rõ nét;sứa biển di chuyển chậm;quay toàn phần sứa biển;góc quay ngang và tịnh tiến tới;The jellyfish takes on a triangular shape with three soft circles. Despite its small size, it's remarkably impressive. The flashlight illuminates their natural beauty. The high-quality video captures the jellyfish's slow movement, transitioning smoothly from a horizontal angle to a close-up.;BigIsland_BlackWaterDive_Jan6_2023
