Video ID;Central_Object;Texture;Color;Size_Shape;Object_2;Object_3;Object_4;Environment;Lighting;Video_Clarity;Movement_Behavior;Camera_Position;Camera_Angle;Caption;Folder;complexity
MVK2.0/Maldive_Jun2023/0031.mp4;đàn cá nhỏ;;cá nhỏ màu đen;kích thước đa dạng;bãi cát trắng và mùn hữu cơ;;;nước biển trong xanh;;video có chất lượng rõ nét;các cá nhỏ bơi theo đàn, bám sát vào nhau và bơi chậm;camera quay toàn cảnh;góc quay tĩnh, quay góc xa;The video showcases clear and crisp footage capturing schools of small, black-colored fish of various sizes, gracefully maneuvering across the white sandy seabed and organic sediment under the azure waters. The small fish swim together, closely adhering to one another, moving leisurely. The camera captures the scene in its entirety from static angles, zooming out to provide a comprehensive view of the marine landscape.;;
MVK2.0/Maldive_Jun2023/0032.mp4;đàn cá đuối;;cá đuối màu xám;kích thước lớn;bãi cát trắng;rạn san hô;;nước biển hơi đục;;video có chất lượng rõ nét;đàn cá đuối  bơi vòng vòng  và bơi sát bãi cát trắng;camera quay toàn cảnh;góc quay ngang thấy bao quát cá đuối;The video captures clear and sharp footage of a school of large gray stingrays, gracefully swimming around and near the white sandy seabed close to the coral reef. The underwater environment appears slightly murky, and the camera pans horizontally to encompass the stingrays within the natural seascape.;;
MVK2.0/Maldive_Jun2023/0033.mp4;đàn cá đuối;;cá đuối màu xám;kích thước lớn;bãi cát trắng;rạn san hô;thợ lặn ở gần đó;nước biển hơi đục;;video có chất lượng rõ nét;đàn cá đuối  bơi vòng vòng  và bơi sát bãi cát trắng, thợ lặn đang chụp ảnh các con cá đuối;góc quay ngang, bao quát;góc quay ngang thấy bao quát cá đuối;The video features high-quality footage capturing a school of large gray stingrays, gracefully swimming around and near the white sandy seabed close to the coral reef. In the scene, a diver is photographing the stingrays, adding further liveliness and depth to the imagery. The underwater environment appears slightly murky, and the camera pans horizontally, encompassing the spectacle of the stingrays and the surrounding environment.;;
MVK2.0/Maldive_Jun2023/0034.mp4;rạn san hô và đàn cá nhỏ;;rạn san hô màu xanh lục và cá nhỏ màu đen;kích thước đa dạng;bãi cát trắng và mùn hữu cơ;;;nước biển trong xanh;;video có chất lượng rõ nét;rạn san hô ít di chuyển và các cá nhỏ  bơi chậm;camera quay toàn cảnh;góc quay ngang và quay xung quanh;The video presents clear and vivid footage of a verdant coral reef and a school of small black fish, showcasing a diverse range of sizes, gracefully moving across the white sandy seabed and organic sediment beneath the azure waters. In the scene, the coral reef remains relatively stationary while the small fish swim leisurely. The camera pans around, capturing the scene in its entirety from horizontal angles.;;
MVK2.0/Maldive_Jun2023/0035.mp4;Tropical fish;;toàn thân màu xanh trơn;kích thước lớn;rạn san hô;bãi cát trắng;;nước biển trong xanh;;video có chất lượng rõ nét;Tropical fish bơi chậm;quay toàn cảnh Tropical fish;góc cao, quay từ trên xuống;The video features clear and sharp footage of smooth, green-bodied tropical fish, characterized by their large size, leisurely swimming around the coral reef and white sandy seabed beneath the clear azure waters. The scene is captured from a high angle, shooting downwards.;;
MVK2.0/Maldive_Jun2023/0036.mp4;đàn cá đuối;;cá đuối màu xám;kích thước lớn;bãi cát trắng;rạn san hô;;nước biển hơi đục;;video có chất lượng rõ nét;đàn cá đuối  bơi vòng vòng;camera quay toàn cảnh;góc quay tĩnh, chính diện thấy bao quát cá đuối;The video captures clear and crisp footage of a school of large gray stingrays, gracefully swimming around the coral reef and white sandy seabed beneath the slightly murky seawater. In the scene, the stingrays swim in circular motions. The camera records the scene in its entirety from a static, frontal angle, providing a comprehensive view of the stingray school within the natural seascape.;;
MVK2.0/WestPalmBeach_May2023/0011.mp4;cá mập;;màu xám;kích thước to lớn;các cá nhỏ;;;nước biển xanh đậm;;video có chất lượng rõ nét;cá mập bơi chậm và bơi vòng vòng;camera quay cận cảnh cá mập di chuyển;góc máy quay tĩnh cá mập;The video showcases clear and sharp footage of a large gray shark, swimming slowly and creating elegant loops in the deep blue seawater. The camera provides close-up shots of the shark's movements, faithfully reproducing every motion and detail. The camera angle remains static, allowing for a clear and detailed observation of the shark's behavior in its natural environment.;;
MVK2.0/WestPalmBeach_May2023/0012.mp4;rạn san hô;;màu xanh lục và màu vàng, màu đỏ hồng;kích thước đa dạng;các sinh vật ký sinh;nhiều đàn cá nhỏ;;nước biển xanh hơi đục;;video có chất lượng hơi mờ;rạn san hô ít di chuyển, cá nhỏ và thợ lặn bơi chậm rãi;video quay cận cảnh rạn san hô;góc quay ngang quay cận cảnh rạn san hô;The video captures a vibrant coral reef with diverse colors and sizes, teeming with various marine organisms including small fish and parasitic creatures. Under the slightly murky blue seawater, the video quality may appear slightly blurred. In the scene, the coral reef remains relatively stationary, while small fish and divers swim leisurely. The footage provides close-up shots of the coral reef, filmed from a horizontal angle.;;
MVK2.0/WestPalmBeach_May2023/0013.mp4;cá mập;;màu xám;kích thước to lớn;;;;nước biển xanh đậm;;video có chất lượng rõ nét;cá mập bơi chậm và bơi vòng vòng;camera quay toàn cảnh cá mập di chuyển;góc máy quay tĩnh cá mập;The video presents clear and high-definition footage of a large gray shark, moving slowly and creating elegant loops in the deep blue seawater. The camera captures the shark's movements to provide a comprehensive view of its behavior. A static camera angle is utilized to ensure a stable and detailed image of the shark in its natural environment.;;
MVK2.0/WestPalmBeach_May2023/0014.mp4;rạn san hô phát triển trên xác tàu chìm;;màu xanh rêu và xác tàu có  màu nâu và màu đen;kích thước đa dạng;xác tàu chìm to lớn;san hô sừng, san hô bông, san hô nấm;;nước biển trong xanh;;video có chất lượng rõ nét;rạn san hô ít di chuyển;camera quay toàn cảnh rạn san hô phát triển trên xác tàu chìm;góc quay ngang, camera xoay xung quanh;The video showcases clear and sharp footage of coral growth on the sunken shipwreck, displaying a diverse range of colors from the mossy green of the coral to the brown and black hues of the shipwreck. There is a variety of coral sizes and types, including staghorn coral, bubble coral, and mushroom coral. In the scene, the coral reef remains relatively stationary, and the camera pans horizontally, rotating around to provide a comprehensive view of the coral growth on the sunken shipwreck.;;
MVK2.0/WestPalmBeach_May2023/0015.mp4;các trụ rạn san hô;;màu xanh tối màu;kích thước to lớn;thợ lặn ở gần đó;các cá nhỏ;;nước biển xanh nhạt;;video có chất lượng rõ nét;trụ rạn san hô ít di chuyển, cá nhỏ và thợ lặn bơi chậm;camera quay cận cảnh các trụ san hô và thợ lặn;góc quay tĩnh, quay lên phía trên của trụ rạn san hô;The video captures clear and high-definition footage of large, dark green coral pillars, accompanied by divers and small fish around them. In the light blue seawater, the coral pillars remain relatively stationary, while small fish and divers swim slowly. The camera provides close-up shots of the coral pillars and divers from a static angle, panning upwards to showcase the top of the coral pillars.;;
MVK2.0/WestPalmBeach_May2023/0016.mp4;cá mập;;màu xám;kích thước to lớn;thợ lặn ở gần đó;các cá nhỏ;;nước biển xanh đậm;;video có chất lượng rõ nét;cá mập bơi chậm và bơi vòng vòng;camera quay cận cảnh cá mập di chuyển;góc máy quay tĩnh cá mập;In the deep blue seawater, the video captures clear and sharp images of a large gray shark, swimming slowly and creating elegant loops. The camera provides close-up shots of the shark's movements, while a static camera angle faithfully reproduces every detail of them in their natural environment, accompanied by the presence of divers and small fish.;;
MVK2.0/WestPalmBeach_May2023/0017.mp4;rạn san hô;;màu xanh rêu và màu vàng;kích thước đa dạng;các sinh vật ký sinh;nhiều đàn cá nhỏ;thợ lặn gần đó;nước biển trong xanh;;video có chất lượng rõ nét;rạn san hô ít di chuyển, cá nhỏ và thợ lặn bơi chậm rãi;video quay cận cảnh rạn san hô;góc quay ngang quay cận cảnh rạn san hô;In the clear blue underwater environment, the video captures a coral reef with mossy green and yellow hues, exhibiting diverse sizes and hosting parasitic creatures and schools of small fish. In the scene, the coral reef remains relatively stationary, while small fish and divers swim leisurely. The camera provides detailed close-up shots of the coral reef from a horizontal angle, offering a detailed image of this underwater environment.;;
MVK2.0/WestPalmBeach_May2023/0018.mp4;cá mập;;màu xám;kích thước to lớn;thợ lặn ở gần đó;các cá nhỏ;;nước biển xanh đậm;;video có chất lượng rõ nét;cá mập bơi chậm và bơi vòng vòng quanh thợ lặn cho thức ăn;camera quay cận cảnh cá mập di chuyển;góc máy quay tĩnh cá mập;In the deep blue underwater environment, the video captures clear and crisp images of a large gray shark, swimming slowly and creating elegant loops around the diver in search of food. The camera provides close-up shots of the shark's movements, while a static camera angle faithfully reproduces every detail. This creature, residing beneath the sea, is part of a diverse and mysterious ecosystem.;;
MVK2.0/WestPalmBeach_May2023/0019.mp4;vỏ rùa biển;;màu đen, màu xám;kích thước to lớn;rạn san hô;;;nước biển trong xanh;;video có chất lượng rõ nét;vỏ rùa biển không chuyển động;camera quay cận cảnh vỏ rùa biển;góc quay tĩnh vỏ rùa biển;In the clear blue underwater environment, the video captures the black and gray shell of a large sea turtle, resting peacefully on the coral reef. The footage is of high quality, with the camera providing close-up shots of the sea turtle's shell from a static angle, faithfully reproducing every detail of it in its natural environment.;;
