Video ID;Central_Object;Texture;Color;Size_Shape;Object_2;Object_3;Object_4;Environment;Lighting;Video_Clarity;Movement_Behavior;Camera_Position;Camera_Angle;Caption;Folder;complexity
GreenIsland_April11_2023/0036.mp4;1 người thợ lặn;;với bộ đồ lặn màu đen, chân vịt vàng;những vách đá lớn;;;;nước trong xanh;;chất lượng cao, quay rõ nét;Người thợ lặn thở ra những bọt khí đang bơi ngang qua những vách đá cao khổng lồ.;video quay rõ nét người thợ lặn;góc quay ngang bao quát toàn cảnh;In the clear video, a diver in a black wetsuit and yellow fins swims past large rocks. The clear blue water highlights the bubbles exhaled by the diver. The horizontal shot covers the entire scene.;GreenIsland_April11_2023;simple
GreenIsland_Apr9_2023/0009.mp4;san hô cứng;thân màu vàng, đầu màu trắng;chủ yếu là màu vàng, thân màu vàng, đầu mầu trắng;kích thước to lớn, có hình khối;;;;nước biển trong xanh;;video có chất lượng rõ nét;san hô cứng đứng yên không chuyển động;camera quay cận cảnh san hô cứng từ chỗ này đến chỗ khác;cảnh quay cận cảnh xung quanh san hô cứng;Under the blue sea, the hard coral reefs stand out with their yellow bodies and white heads. They are large, blocky in shape, and remain stationary. A high-quality camera captures close-up shots of every detail, from vibrant colors to the surrounding environment;GreenIsland_Apr9_2023;simple
Nusa_penida_Aug15_2023/0020.mp4;rặng san hô;;nhiều màu sắc khác nhau;kích thước lớn;;;;nước trong xanh;;chất lượng cao, quay rõ nét;;video quay rõ khung cảnh xung quanh rạn đá;góc quay ngang bao quát toàn cảnh;Under the sea, there is a coral reef with various colors and large sizes. The water is clear, high-quality, recording the surroundings of the coral reef vividly. The video captures the scene in detail, with a horizontal angle covering the entire underwater landscape.;Nusa_penida_Aug15_2023;simple
BigIsland_BlackWaterDive_Jan6_2023/0041.mp4;sinh vật phù du;;màu vàng do phản chiếu ánh sáng từ đèn của thợ lặn;nhỏ;;;;nước biển trong;;rõ nét;thả trôi;toàn cảnh;góc quay ngang và tịnh tiến tới;The tiny yellow luminescent creatures reflect light from the diver's torch. Drifting softly in the underwater realm, they create vivid scenery. The panoramic shift from horizontal sweep to tranquil progression engenders a mysterious space.;BigIsland_BlackWaterDive_Jan6_2023;simple
TelAviv_Caesarea_Oct2022/0049.mp4;đá ngầm;nhỏ to nhiều dạng;màu xanh nhạt;to, nhỏ nhiều dạng;;;;môi trường nước trong suốt;ánh sáng chiếu xuyên qua;hơi mờ;;vị trí camera quay toàn cảnh;quay xung quanh vật thể di chuyển từ phải sang trái.;The seabed is adorned with various small and large rock formations, each tinted in gentle shades of light green. The transparent water allows light to filter through, though visibility remains slightly obscured. The panoramic camera rotates around the moving subject from right to left.;TelAviv_Caesarea_Oct2022;simple
PhuQuoc1_Jun2022/0001.mp4;bề mặt của một vật gì đó;màu xanh lá, xanh dương, vàng hóa quyện vào nha;màu xanh lá;to;;;;môi trường nước trong suốt;ánh sáng chiếu sáng qua mặt nước;video có chất lượng rõ nét;;vị trí camera quay toàn cảnh;góc máy quay ngang;The surface of an object reflects the harmonious blend of green, blue, and golden hues, creating a captivating image. The prominent green color adds size and vitality to this natural tableau.;PhuQuoc1_Jun2022;simple
LaJolle_KelpBed_22Apr2023/008.mp4;1 bầy sinh vật biển(1 bầy tômhùm);;là 1 loài sinh vật có lớp vỏ cứng, giàu trá trị dinh dưỡng;kích thước bình thường cũng ch trưởng thành;;;;nước trong hàng hơi đục;;chất lượng rõ nét;bầy tôm hùm đang núp trong 1 cái hang;video quay dọc, chất lượng hình ảnh rõ nét;góc máy quay dọc từ dưới lên;In the clear vertical video shot from below, a group of mature lobsters with hard shells, rich in nutritional value, of normal size but already mature, are sheltering in a cave. The water inside the cave is slightly murky, but the details of the lobster group are still visible.;LaJolle_KelpBed_22Apr2023;simple
Molokini_Jul2022/0060.mp4;dãy núi đá dưới đáy biển;;;kích thước khổng lồ;;;;nước xanh lam;;chất lượng cao, quay rõ nét;;video quay cận cảnh 1 góc núi đá;góc quay ngang, từ trên xuống bao quát toàn cảnh;Under the ocean floor, a massive range of rocky mountains stands amidst the deep blue water. The high-quality video captures every detail sharply, from the rugged edges of a rocky peak to the surrounding scenery. The camera angle sweeps horizontally from above, providing a panoramic view.;Molokini_Jul2022;simple
Tulamben1_Jun2022/0083.mp4;người thợ lặn;;có bộ đồ bơi màu đen;kích thước lớn;;;;môi trường không thấy rõ do không có ánh sáng;ánh sáng không thể chiếu qua, có có sự hỗ trợ về đen pin;chất lượng video cao;thợ lặn bơi từ từ để dò đường;vị trí camera toàn cảnh;góc máy quay dọc;In the video, sea manta rays often have flat bodies, brown color, and large sizes when mature. There are usually a few fish swimming nearby with a variety of colors. In clear water, slightly cloudy because the stingray is feeding. Light can usually shine through at low intensity, facilitating high-quality video recording. Stingrays are often actively searching for food or lurking on the seabed. The camera was placed in a panoramic position and the camera angle was moved forward to capture the stingray's behavior naturally.;Tulamben1_Jun2022;simple
Padangbai_Jun2022/0047.mp4;bãi đá, san hô;nhiều, phân bố rải rác;màu xanh đậm, màu rêu;kích thước trung bình, nhiều hình dạng;;;;môi trường nước trong suốt;ánh sáng chiếu sáng qua mặt nước;video có chất lượng rõ nét;;vị trí camera quay toàn cảnh;góc máy quay ngang;Beneath the sea, a landscape unfolds with rocky outcrops interspersed with coral reefs, creating a rich tapestry. The deep green and mossy-colored corals, with their medium size and varied shapes, form a beautiful marine environment.;Padangbai_Jun2022;simple
